[?1034hType                           Module                        Label     Process   
---------------------------------------------------------------------------------
LHEEventProduct                "externalLHEProducer"         ""        "LHE"     
GenEventInfoProduct            "generator"                   ""        "GEN"     
edm::HepMCProduct              "generator"                   ""        "GEN"     
edm::RandomEngineStates        "randomEngineStateProducer"   ""        "GEN"     
edm::TriggerResults            "TriggerResults"              ""        "GEN"     
vector<int>                    "genParticles"                ""        "GEN"     
vector<reco::GenJet>           "ak4GenJets"                  ""        "GEN"     
vector<reco::GenJet>           "ak5GenJets"                  ""        "GEN"     
vector<reco::GenJet>           "ak8GenJets"                  ""        "GEN"     
vector<reco::GenJet>           "iterativeCone5GenJets"       ""        "GEN"     
vector<reco::GenJet>           "kt4GenJets"                  ""        "GEN"     
vector<reco::GenJet>           "kt6GenJets"                  ""        "GEN"     
vector<reco::GenMET>           "genMetCalo"                  ""        "GEN"     
vector<reco::GenMET>           "genMetCaloAndNonPrompt"      ""        "GEN"     
vector<reco::GenMET>           "genMetTrue"                  ""        "GEN"     
vector<reco::GenParticle>      "genParticles"                ""        "GEN"     
